25,조커,악당,"광기, 유머 감각, 흉기 사용",미국,DC,38,2016-06-27
26,렉스 루터,악당,"비즈니스 역량, 발명, 거대 기계",미국,DC,45,1989-06-28
27,다크사이드,악당,"비행, 초인적인 힘, 레이저 눈",애포콜립스,DC,230,2017-07-27
28,브레인락,악당,"뇌파 조작, 초능력자 제어, 컴퓨터 제어",미국,DC,31,1995-10-20
29,레드 후드,영웅,"무기 사용, 복수심, 비밀결사원",미국,DC,26,1975-11-11
30,레이븐,영웅,"초능력자, 마법, 악령",아즈라엘,DC,24,1975-01-23
31,블랙 아담,영웅,"초인적인 힘, 비행, 전기 방출",카하지아,DC,29,1950-11-15
32,블랙 캐나리,영웅,"초인적인 체력, 깃털로 귀를 보호",미국,DC,33,2020-01-09
33,매직,영웅,"마법 사용, 전신 봉인",잉글랜드,DC,33,2004-04-14
34,애틀라스,영웅,"초인적인 힘, 비행, 날씨 조절",미국,DC,26,1973-03-15
35,브루스 웨인,영웅,"훌륭한 체력, 재능 있는 발명가, 거대한 부동산 자산",미국,DC,40,2006-06-22
36,캣우먼,영웅,"민첩성, 교활함, 집고 얻는 습격",미국,DC,29,1976-12-26
37,더 플래시,영웅,"초고속 이동, 빠른 사고, 시간 조작",미국,DC,28,2002-07-01
38,양,악당,"초능력자, 자신을 2개로 분리",미국,DC,32,1981-05-07
39,디아블로,악당,"악마의 힘, 불안정한 정신 상태, 유령",스페인,DC,35,1996-08-06
40,스케이터맨,악당,"인간형 냉동기, 인간형 롤러블레이드",미국,DC,31,2015-05-06
41,레드 투머킨,악당,"피부가 단단하고 뼈가 단단함, 자연 발생 독소 제거",미국,DC,38,1976-01-18
42,브론즈 호르스,악당,"강한 힘, 전기 방출",미국,DC,35,2016-08-29
43,디스트로이어,악당,"초인적인 힘, 비행, 불꽃방사",미국,DC,30,2010-02-11
44,마갈,악당,"인간형 파리, 강력한 자극제 사용",미국,DC,29,1997-04-13
45,베인,악당,"초인적인 체력, 악마의 힘",미국,DC,36,1994-12-14
46,캡틴 콜드,악당,"얼음과 눈의 힘, 차가운 마음",미국,DC,35,1975-11-12
47,킹 릴,악당,"동물 통제 능력, 초인적인 힘",미국,DC,29,2016-12-20
48,루시우스 폭스,악당,"인간형 폭발물, 동생의 복수심",미국,DC,27,1983-03-06
49,클레이페이스,악당,"초인적인 체력, 유전자 조작",미국,DC,42,1960-07-09
50,스커버,악당,"초인적인 체력, 붉은 전류",미국,DC,33,1953-08-08
51,씨퀸,악당,"수중 호흡, 해양 생물 통제 능력",미국,DC,31,2006-08-21
52,마스터마인드,악당,"초인적인 두뇌, 마음 읽기",미국,마블,44,1976-02-23
53,사보트,악당,"에너지 관련 능력, 뇌파 제어",미국,마블,37,2013-04-03
54,레드 스컬,악당,"초인적인 체력, 인간형 날개",독일,마블,32,2012-03-08
55,마그니토,악당,"금속 조작 능력, 초인적인 체력",독일,마블,63,1950-04-29
56,모닥키,악당,몸의 크기를 자유자재로 변경,미국,마블,28,1965-01-31
57,드레드풀,악당,"초인적인 체력, 자기 치유 능력",캐나다,마블,33,1970-06-08
58,캡틴 아메리카,영웅,"초인적인 체력, 방패 사용, 전략적인 사고",미국,마블,35,1995-03-03
59,스파이더맨,영웅,"거미같은 능력, 슈트",미국,마블,24,2008-01-30
60,헐크,영웅,"초인적인 힘, 거대한 몸집, 분노",미국,마블,42,2015-12-20
61,블랙 위도우,영웅,"체육관련 능력, 격투술, 스파이",러시아,마블,34,1988-05-01
62,블레이드,영웅,"초인적인 체력, 검 사용, 뱀파이어 사냥",영국,마블,42,1990-09-29
63,캡틴 마블,영웅,"에너지 관련 능력, 비행",미국,마블,29,1985-02-06
64,아이언 맨,영웅,"비행, 에너지발사, 자비스 일 시키기",미국,마블,40,1963-07-11
65,블랙 팬서,영웅,"초인적인 능력, 검 사용, 팬서의 힘",완다,마블,30,2004-12-31
66,앤트맨,영웅,"분자 크기 조절, 개미들과 의사소통",미국,마블,38,2006-09-26
67,워머신,영웅,"체육관련 능력, 기계 팔",미국,마블,31,2002-04-02
68,비전,영웅,"에너지 관련 능력, 초인적인 두뇌, 현실 조작",미국,마블,31,1980-10-06
69,스타로드,영웅,"우주선 조작, 음악적 재능",미국,마블,39,1953-07-13
70,로키,영웅,"신의 능력, 변신",아스가르드,마블,105,1963-10-28
71,닥터 스트레인지,영웅,"마법 사용, 초인적인 두뇌",미국,마블,45,1986-09-05
72,캡틴 아프리카,영웅,"사자의 능력, 방패 사용",완다,마블,28,2000-10-03
73,맨 오브 스틸,영웅,"초인적인 체력, 인간형 날개",미국,DC,35,1978-02-13
74,슈퍼맨,영웅,"초인적인 힘, 비행, 열광",미국,DC,33,2001-07-28
75,원더우먼,영웅,"초인적인 체력, 무기 사용, 비행",그리스,DC,32,1996-07-06
76,아쿠아맨,영웅,"수중 탐사 능력, 물고기와 의사소통",미국,DC,38,1970-01-18
77,샤잠,영웅,"초인적인 힘, 전기발사",미국,DC,15,1968-10-11
78,배트맨,영웅,"철물 사용, 검술, 스텔스 능력",미국,DC,45,1972-05-19
79,그린 랜턴,영웅,"반지의 능력, 에너지 발사",미국,DC,31,1978-10-13
80,사이보그,영웅,"체계 조작, 미래 기술 사용",미국,DC,27,1964-03-16
81,데드풀,영웅,"초인적인 체력, 무적, 비속어 사용",미국,마블,40,2006-04-30
82,스파이더맨,영웅,"거미줄 발사, 초인적인 능력, 건강한 신체",미국,마블,22,1978-05-01
83,디어데블,영웅,"초인적인 능력, 무기 사용, 실내에서 감각 사용",미국,마블,34,1974-12-06
84,가디언즈 오브 갤럭시,영웅,"우주선 조작, 무기 사용, 개성 있는 성격",미국,마블,30,2001-06-14
85,스파이더우먼,영웅,"거미줄 발사, 초인적인 능력, 미래 예지",미국,마블,25,1981-02-14
86,아이언 퓨리,영웅,"초인적인 능력, 에너지 관련 능력, 철물 사용",미국,마블,30,2015-05-29
87,블랙 와이드우,악당,"검술, 미사일 발사, 복수",러시아,마블,28,2014-05-19
88,조커,악당,"광기, 불안정한 성격, 트릭 사용",미국,DC,40,1968-04-23
89,렉시 루더,악당,"지적 능력, 힘의 원천 조작",미국,DC,49,1967-12-31
90,썬더볼트 로스,악당,"에너지 발사, 초인적인 능력, 조직 운영",미국,마블,33,2022-02-28
91,블랙 위도우,영웅,"전문 요원, 싸우기, 건강한 육체",러시아,마블,36,1992-05-23
92,스타로드,영웅,"우주선 조종, 발사체 제어",미국,마블,38,1971-03-30
93,헐크,영웅,"강력한 힘, 거대한 몸무게",미국,마블,45,1958-03-19
94,디어디블,영웅,"초인적인 청력, 민첩성, 주먹질",미국,마블,35,2021-08-21
95,아쿠아맨,영웅,"물고기와 대화, 수중생활",아틀란티스,저스티스 리그,42,2006-11-11
96,스톰,영웅,"날씨 조종, 번개 던지기",케냐,마블,38,1958-11-12
97,콜로서스,영웅,"강철같은 피부, 거대한 몸무게",러시아,마블,33,1993-07-22
98,쉐이징,영웅,"모양 변환, 추적 능력",미국,저스티스 리그,30,1995-04-29
99,비전,영웅,"무한한 능력, 초능력",미국,마블,3,1987-07-25
100,워머신,영웅,"무기 사용, 스텔스 능력",미국,마블,32,1996-10-26
